time,ax,ay,az,gx,gy,gz,temp,pressure,altitude
0.000,0.0300,-0.0776,-0.9016,-1.1908,3.0840,-0.2137,24.13,829.50,1774.39
0.025,0.0269,-0.0674,-0.9326,-2.7405,0.2290,-1.6183,24.13,829.50,1774.39
0.044,0.0115,-0.0681,-0.9214,-1.9313,0.7786,-1.6412,24.13,829.50,1774.39
0.064,0.0220,-0.0352,-0.9370,-0.5496,0.9618,-0.1069,24.13,829.50,122.62
0.084,0.0015,-0.0508,-0.9297,-0.0916,-0.1756,1.1756,23.81,999.07,122.62
0.103,0.0078,-0.0530,-0.9177,-0.8702,0.9847,-0.7710,23.81,999.07,122.62
0.123,0.0271,-0.0488,-0.9338,0.3282,-1.7710,0.3511,23.81,999.07,122.62
0.143,0.0186,-0.0593,-0.9167,-0.6336,0.1527,1.8168,23.81,999.07,122.62
0.162,0.0134,-0.0625,-0.9106,-0.8473,0.1374,1.0382,23.81,999.07,122.62
0.182,-0.0134,-0.0686,-0.9255,-3.5038,0.9924,-0.7176,23.81,999.07,122.62
0.201,0.0200,-0.0603,-0.9348,-1.2443,3.3893,0.6107,23.81,999.07,122.62
0.221,0.0210,-0.0376,-0.9141,-0.8855,2.7863,0.5573,23.81,999.07,122.62
0.241,0.0212,-0.0444,-0.9114,-1.1298,0.9695,1.8473,23.81,999.07,122.62
0.261,0.0269,-0.0491,-0.9336,-2.0916,0.9618,0.0916,23.81,999.07,122.62
0.280,0.0312,-0.0549,-0.9263,-1.6336,0.8550,-0.2290,23.81,999.07,122.62
0.300,0.0129,-0.0615,-0.9338,-1.1832,3.2824,1.7634,23.81,999.07,122.62
0.320,0.0239,-0.0598,-0.9353,-2.8397,1.9466,1.9237,23.81,999.07,122.62
0.339,0.0120,-0.0698,-0.9236,-0.3740,1.4351,0.6489,23.81,999.07,122.62
0.359,0.0205,-0.0642,-0.9133,-3.1450,2.6107,-0.3359,23.81,999.07,122.62
0.379,0.0261,-0.0730,-0.9231,-2.3664,3.4351,-0.2443,23.81,999.07,122.62
0.398,0.0134,-0.0491,-0.9187,0.8931,3.1069,-0.1679,23.81,999.07,122.62
0.418,0.0205,-0.0515,-0.9504,-2.5191,2.3893,0.2366,23.81,999.07,122.62
0.438,0.0112,-0.0581,-0.9387,-0.6870,5.3359,-0.6107,23.81,999.07,122.62
0.458,0.0110,-0.0645,-0.9333,-0.1450,2.3588,-1.6947,23.81,999.07,122.62
0.477,0.0291,-0.0586,-0.9150,-0.4198,0.1298,0.7023,23.81,999.07,122.62
0.497,0.0056,-0.0620,-0.9253,1.3130,0.0534,-0.0840,23.81,999.07,122.62
0.517,0.0020,-0.0627,-0.9241,-0.5496,2.2748,-0.1450,23.81,999.07,122.62
0.536,0.0396,-0.0591,-0.9082,-1.2214,1.9618,-0.8397,23.81,999.07,122.62
0.556,0.0115,-0.0483,-0.9338,-1.9008,1.3664,-0.2290,23.81,999.07,122.62
0.576,0.0276,-0.0593,-0.9319,1.5878,1.9771,-0.4580,23.81,999.07,122.62
0.595,0.0117,-0.0557,-0.9143,-2.0076,0.0382,-0.5725,23.81,999.07,122.62
0.615,0.0295,-0.0579,-0.9175,-2.4046,0.9389,1.9237,23.81,999.07,122.62
0.635,0.0232,-0.0598,-0.9128,-1.3282,2.1756,0.4962,23.82,999.08,122.55
0.654,0.0195,-0.0515,-0.9221,-0.7710,3.1756,1.2443,23.82,999.08,122.55
0.674,0.0178,-0.0664,-0.9197,-2.8168,1.7099,0.3359,23.82,999.08,122.55
0.694,0.0181,-0.0583,-0.9160,-0.6031,0.6412,0.8244,23.82,999.08,122.55
0.714,0.0127,-0.0564,-0.9302,1.3435,0.6260,0.7099,23.82,999.08,122.55
0.733,0.0200,-0.0535,-0.9148,0.9924,3.5802,1.9466,23.82,999.08,122.55
0.753,0.0200,-0.0476,-0.9080,0.6947,2.1069,0.6565,23.82,999.08,122.55
0.773,0.0176,-0.0583,-0.9260,-5.0305,1.8626,1.2290,23.82,999.08,122.55
0.792,0.0186,-0.0610,-0.9255,0.3588,2.6336,-0.1221,23.82,999.08,122.55
0.812,0.0232,-0.0532,-0.9431,-1.5878,2.5725,0.1069,23.82,999.08,122.55
0.832,0.0305,-0.0496,-0.9319,0.4656,2.4504,0.5496,23.82,999.08,122.55
0.851,0.0273,-0.0530,-0.9404,-2.2137,1.1832,1.7710,23.82,999.08,122.55
0.871,0.0242,-0.0408,-0.9236,-0.7634,0.2977,-0.6260,23.82,999.08,122.55
0.891,0.0015,-0.0571,-0.9229,-5.6489,1.9313,0.7176,23.82,999.08,122.55
0.910,0.0093,-0.0532,-0.9319,-0.6260,2.5191,0.5267,23.82,999.08,122.55
0.930,0.0278,-0.0513,-0.9312,-2.0382,1.2137,0.9924,23.82,999.08,122.55
0.950,0.0144,-0.0630,-0.9163,-2.8779,2.4198,0.9008,23.82,999.08,122.55
0.969,0.0173,-0.0547,-0.9082,-1.9008,3.1374,1.6412,23.82,999.08,122.55
0.989,0.0076,-0.0540,-0.9219,-4.1756,2.1832,0.0305,23.82,999.08,122.55
1.009,0.0164,-0.0601,-0.9224,-0.6412,3.3740,0.5954,23.82,999.08,122.55
1.028,0.0164,-0.0486,-0.9282,0.9924,1.3969,1.0992,23.82,999.08,122.55
1.048,0.0225,-0.0759,-0.9165,-2.4733,2.9084,0.4046,23.82,999.08,122.55
1.068,0.0134,-0.0588,-0.9114,-3.9084,2.4275,-1.6183,23.82,999.08,122.55
1.087,0.0010,-0.0618,-0.9282,-0.9695,3.8321,0.4046,23.82,999.08,122.55
1.107,0.0166,-0.0498,-0.9170,0.5573,2.8779,0.1069,23.82,999.08,122.55
1.127,0.0132,-0.0696,-0.9106,-2.5115,2.2366,-0.0992,23.82,999.08,122.55
1.147,0.0303,-0.0371,-0.9336,-0.1985,0.3359,-0.7405,23.82,999.08,122.55
1.166,0.0215,-0.0510,-0.9363,-0.8397,1.9847,-0.4351,23.82,999.08,122.55
1.186,0.0200,-0.0767,-0.9143,-1.2901,2.7710,-0.4046,23.82,999.08,122.55
1.206,0.0134,-0.0615,-0.9182,-4.5191,0.7786,1.2519,23.82,999.08,122.57
1.225,0.0266,-0.0535,-0.9185,-1.9237,1.2824,-0.3359,23.82,999.08,122.57
1.245,0.0261,-0.0532,-0.9285,-1.6794,0.5420,-0.3588,23.82,999.08,122.57
1.265,0.0127,-0.0557,-0.9246,-4.5573,3.0611,0.3817,23.82,999.08,122.57
1.284,0.0229,-0.0640,-0.9207,-0.1374,1.7405,0.3969,23.82,999.08,122.57
1.304,0.0266,-0.0544,-0.9409,-1.8779,2.1374,0.2214,23.82,999.08,122.57
1.324,0.0217,-0.0601,-0.9238,-2.3817,0.2443,0.1145,23.82,999.08,122.57
1.343,0.0212,-0.0613,-0.9333,-1.8702,1.1832,-0.4656,23.82,999.08,122.57
1.363,0.0234,-0.0769,-0.9348,-2.5725,2.8779,-0.1679,23.82,999.08,122.57
1.383,0.0234,-0.0540,-0.9160,-1.1908,1.9389,0.2137,23.82,999.08,122.57
1.402,0.0139,-0.0498,-0.9209,-3.7939,3.2366,-0.4198,23.82,999.08,122.57
1.422,0.0134,-0.0598,-0.9321,-2.3893,0.8626,-0.7557,23.82,999.08,122.57
1.442,0.0176,-0.0571,-0.9260,-2.9847,2.6489,-0.0458,23.82,999.08,122.57
1.461,0.0291,-0.0581,-0.9373,0.8550,2.4427,0.0992,23.82,999.08,122.57
1.481,0.0247,-0.0486,-0.9255,-4.3969,0.7023,0.3740,23.82,999.08,122.57
1.501,0.0076,-0.0610,-0.9072,-1.8550,0.3969,-1.8168,23.82,999.08,122.57
1.521,0.0010,-0.0513,-0.9307,-0.2901,1.7252,1.1908,23.82,999.08,122.57
