time_ms,alt,ax,ay,az,temp
407,0.3,0.049,-0.058,0.946,25.9
1645,0.3,0.064,-0.053,0.926,25.9
2882,0.4,0.068,-0.055,0.949,25.9
4119,0.4,0.073,-0.052,0.940,25.9
5371,0.3,0.070,-0.060,0.947,25.9
6608,0.5,0.060,-0.062,0.937,25.9
7845,0.3,0.066,-0.055,0.938,25.9
9082,0.4,0.074,-0.059,0.926,25.9
10319,0.5,0.062,-0.049,0.949,25.9
11576,0.4,0.226,-0.136,0.952,25.9
12833,0.4,-0.443,0.313,0.830,26.0
14090,0.1,-0.420,0.439,0.680,26.0
15347,0.3,-0.027,0.515,0.758,26.0
16604,0.3,-0.300,0.513,0.711,26.0
17861,-0.2,-0.229,0.343,0.856,26.1
19121,0.1,-0.234,0.359,0.866,26.1
20378,0.2,-0.217,0.239,0.862,26.1
21635,-0.1,-0.246,0.186,0.918,26.1
22892,0.1,-0.259,0.200,0.873,26.1
24149,0.1,-0.125,-0.005,0.936,26.2
25406,0.1,-0.052,-0.037,0.929,26.2
26663,0.3,-0.073,0.001,0.943,26.2
27920,0.1,-0.049,-0.059,0.921,26.2
29177,0.0,0.038,-0.022,0.865,26.2
30434,-0.1,0.153,-0.063,0.989,26.2
31691,0.0,0.062,-0.033,0.930,26.3
32948,-0.1,0.068,-0.039,0.947,26.3
34205,-0.4,0.066,-0.038,0.942,26.3
35462,-0.2,0.059,-0.042,0.935,26.3
36722,0.3,0.072,-0.055,0.936,26.2
37978,0.1,0.069,-0.037,0.949,26.2
39234,0.0,0.069,-0.042,0.930,26.2
40490,0.4,0.078,-0.036,0.943,26.2
41746,0.1,0.078,-0.033,0.940,26.2
43002,0.3,0.070,-0.053,0.934,26.2
44258,0.5,0.069,-0.039,0.935,26.2
45514,0.5,0.075,-0.026,0.965,26.2
46770,0.3,0.082,-0.041,0.943,26.2
48026,0.3,0.082,-0.042,0.942,26.2
49282,0.4,0.068,-0.035,0.944,26.2
50538,0.4,0.060,-0.053,0.943,26.2
51794,0.6,0.058,-0.035,0.937,26.2
53050,0.3,0.067,-0.039,0.948,26.2
54306,0.4,0.070,-0.034,0.952,26.2
55564,0.2,0.055,-0.043,0.944,26.2
56820,0.4,0.056,-0.053,0.948,26.2
58076,0.4,0.063,-0.052,0.935,26.2
59332,0.3,0.078,-0.038,0.937,26.2
60588,0.4,0.086,-0.045,0.934,26.2
61844,0.5,0.068,-0.038,0.934,26.2
63100,0.6,0.072,-0.042,0.937,26.2
64356,0.3,0.064,-0.043,0.932,26.2
65612,0.3,0.069,-0.039,0.936,26.1
66868,0.4,0.075,-0.047,0.929,26.1
68124,0.3,0.068,-0.042,0.932,26.1
69380,0.5,0.078,-0.042,0.937,26.1
70636,0.3,0.070,-0.049,0.949,26.1
71892,0.5,0.067,-0.044,0.946,26.1
73151,0.7,0.064,-0.041,0.955,26.1
74407,0.4,0.077,-0.049,0.940,26.1
75663,0.6,0.066,-0.039,0.944,26.1
76919,0.8,0.077,-0.052,0.949,26.1
78175,0.7,0.062,-0.036,0.941,26.1
79431,0.6,0.061,-0.047,0.940,26.1
80687,0.5,0.074,-0.041,0.932,26.1
81943,0.6,0.074,-0.039,0.946,26.1
83199,0.6,0.069,-0.030,0.940,26.1
84455,0.5,0.051,-0.049,0.934,26.1
85711,0.6,0.072,-0.023,0.937,26.1
86967,1.0,0.060,-0.030,0.927,26.1
88223,0.7,0.069,-0.032,0.949,26.1
89479,0.8,0.077,-0.040,0.956,26.1
90735,0.6,0.081,-0.052,0.941,26.1
91994,0.6,0.065,-0.044,0.939,26.1
93250,0.8,0.043,-0.047,0.952,26.1
94506,0.7,0.069,-0.036,0.936,26.1
95762,0.8,0.067,-0.052,0.932,26.1
97018,1.2,0.075,-0.042,0.952,26.1
98274,1.0,0.073,-0.034,0.938,26.1
99530,0.9,0.073,-0.041,0.942,26.1
100786,0.8,0.070,-0.042,0.935,26.1
102042,0.9,-0.151,0.265,0.794,26.1
103298,1.1,-0.516,0.157,0.750,26.1
104554,1.1,-0.625,0.168,0.750,26.1
105810,0.8,-0.636,0.240,0.628,26.1
107066,1.2,-0.654,0.392,0.502,26.2
108322,1.5,-0.710,0.303,0.453,26.2
109581,1.6,-0.793,0.283,0.439,26.2
110837,1.8,-0.809,0.254,0.396,26.2
112093,1.6,-0.513,0.160,0.742,26.2
113349,1.7,-0.472,0.210,0.776,26.2
114605,1.4,-0.324,-0.031,0.864,26.2
115861,1.3,-0.215,-0.029,0.909,26.2
117117,1.7,-0.211,-0.104,0.834,26.2
118373,1.1,-0.130,0.165,0.944,26.2
119629,0.6,0.179,-0.208,0.943,26.3
120885,1.0,0.167,-0.079,0.949,26.3
122141,1.1,-0.110,0.421,0.808,26.2
123397,1.3,-0.271,0.637,0.547,26.2
