time_ms,alt,ax,ay,az,temp
13915,22.3,-0.038,-0.035,-0.933,24.7
15167,22.6,-0.036,-0.022,-0.939,24.7
16419,23.0,-0.042,-0.035,-0.940,24.7
17671,22.9,-0.024,-0.028,-0.937,24.7
18923,23.2,-0.026,-0.035,-0.933,24.7
20175,23.0,-0.028,-0.035,-0.940,24.7
21427,23.2,0.034,-0.031,-0.983,24.7
22679,23.3,0.239,-0.093,-0.945,24.7
23931,23.8,-0.235,0.498,-0.704,24.7
25183,23.9,-0.608,0.727,0.031,24.8
26435,23.8,-0.901,0.163,-0.083,24.8
27687,23.4,-0.825,-0.405,-0.245,24.8
28939,23.8,-0.378,-0.878,-0.366,24.8
30191,23.9,-0.190,-0.773,-0.585,24.8
31443,23.5,-0.464,-0.170,-0.780,24.9
32695,23.6,-0.596,0.442,-0.583,24.9
33947,23.4,-0.312,0.917,-0.239,24.9
36451,23.1,-0.946,0.063,-0.469,24.9
37703,23.1,-0.542,0.010,-0.736,24.9
38955,22.9,-0.684,0.221,-0.771,24.9
41459,23.0,-0.799,-0.046,-0.702,24.9
42711,22.7,-1.042,0.093,-0.26>,2<(	
46467,23.5,-0.802,0.332,-0.312,25.0
47719,23.1,-0.447,0.179,-1.000,25.0
51475,23.1,-0.361,-0.065,-0.830,25.0
52727,22.9,-0.018,-0.195,-0.679,25.0
53979,23.0,-0.047,-0.033,-0.937,25.0
55231,23.0,-0.037,-0.028,-0.940,25.0
56483,23.2,-0.023,-0.030,-0.938,25.0
57735,23.1,-0.038,-0.034,-0.941,25.0
58987,23.1,-0.052,-0.035,-0.933,25.0
60239,23.5,-0.030,-0.022,-0.937,25.0
61491,23.0,-0.049,-0.033,-0.939,25.0
62743,23.1,-0.038,-0.041,-0.938,25.0
63995,22.9,-0.033,-0.021,-0.938,25.0
